team_size,rank_tier,min_rank,max_rank,is_win,day_of_week,date,server_region,player_goals,player_saves,player_shots,player_assists,player_score,player_boost_avg,player_boost_bpm,player_boost_bcpm,player_boost_percent_0_25,player_boost_percent_75_100,player_movement_avg_speed,player_movement_total_distance,player_movement_time_supersonic,player_movement_time_slow,player_positioning_avg_distance_to_ball,player_positioning_time_defensive,player_positioning_time_offensive,player_demos_inflicted,player_demos_taken,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed,games_already_played
3,19.0,19.0,19.0,0,Tuesday,2022-05-10 19:59:38-06:00,USE,0,0,1,0,58,49.76,366,363.6445,32.143326,24.784266,1418,300440,24.08,128.2,3168,147.08,90.6,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,0,Friday,2022-05-20 03:18:44-06:00,USE,0,1,3,0,196,48.56,266,287.0616,27.524895,26.855865,1375,427278,22.85,201.99,2578,202.78,126.23,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Sunday,2022-06-19 04:50:25-06:00,USE,1,2,3,1,362,53.96,338,356.57626,35.309063,26.1015,1440,444639,31.35,176.51,3217,233.28,94.18,0,4,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Friday,2022-06-24 12:23:53-06:00,USE,1,0,6,1,380,51.19,326,328.7044,26.679598,23.552229,1391,443019,28.13,204.78,3143,231.22,107.08,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Saturday,2022-07-09 00:37:26-06:00,USW,1,2,2,0,424,54.25,347,388.18887,33.542145,22.576769,1387,466255,32.74,214.37,3066,243.01,119.35,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,19.0,0,Monday,2022-07-18 08:04:37-06:00,USE,0,1,3,0,198,43.4,407,417.9167,45.908012,18.902075,1535,504665,57.9,160.02,2848,235.26,116.61,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Tuesday,2022-07-26 22:39:27-06:00,NaN,0,0,0,0,60,53.3,381,402.3362,33.64864,19.581482,1515,468406,50.12,172.12,3544,223.85,116.17,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Tuesday,2022-08-09 06:39:42-06:00,NaN,1,3,2,2,544,51.68,395,404.30582,23.757692,25.91638,1450,458894,46.66,188.26,2939,235.3,105.04,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Friday,2022-08-12 08:48:11-06:00,USE,2,1,8,0,396,42.54,530,578.8565,46.919205,16.345383,1639,474157,77.98,132.65,2890,190.95,128.05,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Sunday,2022-08-14 16:02:16-06:00,USE,1,1,2,1,348,47.85,459,443.9625,36.85901,17.277975,1529,594130,77.34,192.72,2761,279.88,130.92,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Tuesday,2022-08-16 12:02:24-06:00,USW,0,3,1,0,402,47.57,334,351.84933,32.90199,20.274794,1326,776123,62.53,377.69,2638,430.48,172.76,1,0,110,110,-3,280,0.45,10.0,1.7,0
